Metric,2,3,4,5,6,7,8,9,10,12,15,17,20,22,24,26,28,30,35,40
,0.15,0.11,0.10,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02
rca.function.mi.mi_original,33,27,39,66,40,52,49,47,45,36,32,50,41,41,64,62,65,70,74,82
rca.function.nom.functions_min,0,2,23,42,39,52,40,45,48,29,41,41,50,52,52,59,52,56,82,73
rca.function.mi.mi_visual_studio,13,22,26,26,46,35,40,47,54,52,62,68,64,66,60,68,68,68,67,66
rca.function.nargs.functions_max,7,22,37,73,39,24,15,50,49,42,32,48,51,66,74,74,65,76,86,84
rca.function.loc.lloc_min,0,1,9,23,29,37,36,27,25,30,33,52,62,67,75,82,79,76,77,80
rca.function.nom.closures_average,21,40,30,32,35,28,28,20,22,22,32,29,58,66,66,68,71,70,85,92
rca.function.nom.closures_min,0,1,4,3,16,20,44,47,42,62,55,63,36,44,52,51,58,62,60,72
rca.function.nexits.average,0,6,7,2,24,23,24,37,33,56,60,67,48,58,54,62,62,62,84,74
rca.function.nexits.max,0,6,23,28,25,27,37,28,32,25,39,41,44,42,54,58,47,53,38,61
rca.function.halstead.level,0,0,2,2,12,27,30,25,32,49,52,46,57,58,63,67,66,77,93,94
rca.function.nargs.average_functions,7,10,24,7,28,43,40,17,23,16,25,39,31,42,42,48,62,63,80,80
rca.function.halstead.n1,1,7,2,2,6,5,8,12,13,18,34,48,58,64,62,70,73,76,93,96
rca.function.loc.cloc_min,0,1,0,1,4,8,14,31,29,34,26,43,29,25,36,41,56,64,57,70
rca.function.nargs.functions_min,14,13,11,6,8,8,7,17,7,10,27,41,61,68,71,77,74,70,81,88
rca.function.loc.lloc_max,0,0,3,5,6,5,6,7,10,25,36,42,29,30,34,48,58,62,70,69
rca.function.nargs.average,4,12,8,10,20,22,36,18,23,41,44,36,37,31,26,32,42,53,52,60
rca.function.nexits.min,2,4,6,4,3,6,8,11,16,14,17,24,41,44,50,50,56,61,79,82
rca.function.nom.closures_max,0,6,4,3,10,7,18,22,21,44,28,42,36,43,42,36,51,56,45,56
rca.function.nom.functions_average,40,25,25,17,12,11,13,16,19,22,28,40,36,39,41,44,40,48,76,79
rca.function.halstead.purity_ratio,0,0,0,0,1,1,1,2,1,5,21,33,58,69,80,87,87,94,100,100
rca.function.loc.ploc_min,0,0,4,5,7,8,9,10,13,18,28,18,36,35,47,48,49,50,51,59
rca.function.mi.mi_sei,4,6,9,3,7,8,10,5,2,16,13,23,35,52,42,49,61,71,86,89
rca.function.nargs.total,0,20,11,2,2,3,5,6,8,21,18,22,46,45,51,49,37,40,63,58
rca.function.loc.blank_min,0,0,0,0,2,3,4,1,8,8,26,23,19,24,38,40,46,48,34,54
rca.function.loc.ploc_average,0,2,1,4,7,9,8,7,15,19,32,29,38,40,30,32,30,24,55,61
rca.function.nargs.average_closures,0,3,3,3,6,12,21,13,17,19,32,42,25,28,35,35,49,55,33,64
rca.function.nexits.sum,1,4,15,32,24,23,18,20,16,8,8,18,28,29,32,31,46,50,65,62
rca.function.cyclomatic.average,0,0,0,0,3,3,4,7,12,22,20,15,24,35,47,49,52,52,48,52
rca.function.nargs.total_closures,0,2,1,2,4,3,3,5,4,10,11,15,20,28,31,31,47,48,57,69
rca.function.halstead.n2,0,0,1,1,2,3,7,21,18,22,14,16,25,24,43,37,38,51,66,56
rca.function.loc.ploc_max,0,1,2,2,5,12,15,11,8,18,14,16,24,34,34,36,39,50,68,55
rca.function.loc.sloc_max,0,3,2,2,6,3,3,3,3,9,18,20,30,37,34,47,36,40,45,58
rca.function.loc.sloc_min,0,0,0,1,4,2,4,5,5,10,11,20,14,18,34,32,47,59,48,62
rca.function.nargs.closures_min,0,0,4,0,2,2,4,5,5,12,22,14,30,29,33,31,42,47,56,58
rca.function.nom.functions_max,0,3,3,6,10,21,12,18,28,18,25,23,38,39,32,35,40,39,42,52
rca.function.cognitive.sum,0,0,0,0,2,5,4,12,18,10,10,10,26,25,25,26,28,27,65,69
rca.function.loc.lloc,1,0,3,4,10,7,6,21,22,14,26,21,30,34,35,46,35,34,50,51
rca.function.loc.sloc_average,2,14,9,2,4,5,10,4,4,13,25,24,28,36,32,28,26,32,74,68
rca.function.nargs.total_functions,4,10,5,1,2,3,2,4,5,11,15,20,26,24,27,40,39,52,39,55
rca.function.halstead.N1,6,1,2,2,1,1,0,3,2,8,7,12,23,30,42,45,32,34,37,50
rca.function.halstead.estimated_program_length,0,6,8,1,1,1,2,6,5,5,6,20,15,23,7,19,20,14,60,59
rca.function.cognitive.min,0,0,2,2,2,3,6,18,14,10,6,14,16,11,22,23,28,28,39,52
