n_metrics    min    avg   max
2    0.07088284194469452    0.14742759558558463    0.21025098860263824
3    0.05411285534501076    0.11384632028639316    0.16989459097385406
4    0.04051816463470459    0.0962609326839447    0.14850862324237823
5    0.03440994396805763    0.08241161105036736    0.1327209323644638
6    0.03127370774745941    0.0763619050681591    0.12169910967350006
7    0.030917910858988762    0.07099495390802622    0.11800210922956467
8    0.02859102189540863    0.06735178121179343    0.11431140452623367
9    0.023763850331306458    0.06288189021497965    0.103777676820755
10    0.025433490052819252    0.06006407706439495    0.1011945977807045
12    0.022473018616437912    0.05612165617197752    0.09591495990753174
15    0.018954606726765633    0.050382525615394115    0.08500885963439941
17    0.018515365198254585    0.04671765293926001    0.06769390404224396
20    0.01862921565771103    0.04272946839779616    0.06288094818592072
22    0.015566173940896988    0.03896880645304918    0.056092001497745514
24    0.015691671520471573    0.037236729562282564    0.05444944277405739
26    0.01555720902979374    0.03460074868798256    0.049461569637060165
28    0.014284306205809116    0.03160875863954425    0.046385202556848526
30    0.013405823148787022    0.029099001940339805    0.044862911105155945
35    0.011169278994202614    0.02237758230790496    0.03314146399497986
40    0.00908356998115778    0.019231449533253907    0.027975933626294136
