Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,20,22,24,26,28,30,35,40
,0.55,0.47,0.40,0.35,0.31,0.28,0.25,0.23,0.21,0.20,0.18,0.16,0.15,0.14,0.11,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02
rca.function.halstead.n1,22,26,55,52,52,59,52,62,53,60,75,74,79,80,78,80,82,76,77,86,78,80,86
rca.function.nom.closures_average,24,25,20,36,46,37,48,44,52,49,59,66,72,71,82,84,86,88,86,86,92,94,98
rca.function.halstead.purity_ratio,18,46,59,70,70,77,71,76,66,60,67,81,90,85,88,91,93,90,97,96,94,95,99
rca.function.mi.mi_visual_studio,20,22,20,31,49,44,45,52,54,58,53,60,59,52,76,76,85,82,83,85,88,94,96
rca.function.nom.closures_min,4,8,13,23,25,48,47,47,55,53,65,70,78,70,76,68,59,81,78,86,86,93,92
rca.function.nom.functions_min,4,10,13,14,23,49,48,52,55,50,43,50,47,45,55,62,59,72,72,69,80,89,95
rca.function.nargs.functions_min,4,10,7,10,20,24,39,43,46,49,53,52,48,55,68,74,82,85,84,82,82,79,88
rca.function.halstead.level,6,8,11,10,19,34,36,38,42,44,43,45,46,49,65,72,83,81,79,76,86,92,93
rca.function.nom.functions_max,2,3,23,16,24,20,24,35,38,43,41,49,54,60,59,65,70,70,72,73,63,76,84
rca.function.nom.closures_max,14,8,17,27,40,37,29,40,36,39,31,38,36,37,57,63,72,76,72,80,79,75,90
rca.function.nom.functions_average,3,25,19,20,15,11,18,17,26,29,45,46,52,58,57,72,74,74,79,82,84,92,96
rca.function.nargs.average_functions,3,3,16,17,26,28,30,31,30,30,21,24,40,39,55,60,68,66,58,54,65,66,62
rca.function.nargs.closures_min,0,3,4,8,10,12,20,18,28,30,42,33,46,46,57,62,64,58,68,72,72,67,79
rca.function.mi.mi_original,18,23,22,36,20,21,31,24,29,33,43,44,48,52,39,37,32,44,50,57,65,72,61
rca.function.mi.mi_sei,20,22,23,27,20,18,26,20,25,33,44,40,41,44,40,39,36,41,55,61,53,76,93
rca.function.nargs.average_closures,1,6,13,9,14,16,14,24,18,26,26,33,30,38,52,58,62,49,60,56,63,52,79
rca.function.nexits.average,1,4,4,8,15,31,30,34,41,40,39,37,31,38,33,50,56,60,51,48,66,66,81
rca.function.loc.lloc_average,2,2,4,7,6,6,10,10,12,15,11,14,20,25,39,52,68,58,63,60,60,57,74
rca.function.nargs.closures_max,8,3,2,7,9,9,12,12,22,16,13,13,16,21,29,46,64,60,74,80,76,82,84
rca.function.loc.cloc_average,1,1,4,7,10,8,8,7,12,19,21,28,29,32,38,45,50,54,52,50,44,68,73
rca.function.loc.cloc_max,3,2,8,4,10,16,15,22,18,16,15,16,20,19,32,42,42,55,40,47,56,60,72
rca.function.nargs.total_closures,1,1,1,2,3,4,4,10,7,8,7,11,18,20,29,46,58,45,56,45,46,61,67
rca.function.nargs.functions_max,2,3,7,7,8,9,10,17,19,26,29,27,23,29,30,38,33,45,47,60,61,84,92
rca.function.loc.cloc_min,2,6,4,4,3,4,8,11,11,17,16,20,22,21,15,23,31,30,48,48,57,60,66
rca.function.loc.lloc_min,0,3,3,4,8,7,12,12,16,24,24,21,20,26,31,29,41,43,50,41,42,51,69
rca.function.loc.sloc_min,0,0,0,0,1,0,0,1,4,4,3,7,5,9,11,31,48,37,48,38,57,63,73
rca.function.nexits.max,1,1,3,1,4,7,9,13,12,10,15,17,22,22,20,31,32,49,47,47,52,56,71
rca.function.nexits.min,2,2,4,10,7,8,18,15,19,22,34,32,33,38,31,31,30,36,50,56,54,70,76
rca.function.nargs.average,4,7,5,6,6,4,7,11,9,18,25,19,21,20,22,28,29,35,42,49,62,80,82
rca.function.loc.lloc,0,0,0,0,0,8,14,13,10,8,5,11,8,16,10,22,22,36,26,41,58,56,58
rca.function.loc.ploc_max,1,1,1,0,0,1,2,2,6,6,9,6,7,11,14,18,20,31,37,44,57,67,65
rca.function.cognitive.sum,1,2,2,3,4,4,7,8,12,12,10,10,14,22,18,16,19,25,35,51,47,43,52
rca.function.loc.lloc_max,2,3,3,2,4,4,7,9,10,15,19,19,17,16,13,17,15,20,18,26,42,50,61
rca.function.loc.sloc_average,0,0,1,0,0,0,2,3,4,5,5,7,4,10,10,14,15,20,23,32,31,56,71
rca.function.halstead.vocabulary,0,0,0,0,0,1,2,4,5,7,6,7,4,7,8,17,29,37,31,31,43,62,68
rca.function.cognitive.max,0,1,1,1,1,2,4,5,5,7,7,8,5,6,14,12,15,18,20,24,28,33,53
rca.function.cyclomatic.average,1,0,0,0,0,2,2,2,2,5,4,5,5,3,7,16,14,30,19,27,34,39,59
rca.function.cyclomatic.max,0,0,1,1,2,0,2,1,2,3,6,5,4,3,10,14,20,21,21,26,28,42,59
rca.function.cyclomatic.sum,0,0,0,0,1,0,0,1,6,7,2,4,6,4,11,10,12,16,28,47,44,47,49
rca.function.loc.sloc_max,0,0,1,1,2,3,2,4,4,9,10,13,12,14,12,14,14,18,19,26,32,43,64
rca.function.nexits.sum,0,0,0,0,1,0,3,4,6,6,4,6,5,6,6,8,11,17,16,18,25,35,58
rca.function.nom.average,2,3,2,3,4,4,7,7,8,10,11,11,9,11,14,18,18,23,25,27,28,50,56
rca.function.halstead.difficulty,0,0,0,0,1,2,2,6,10,8,8,15,17,18,19,30,32,30,47,45,42,52,36
rca.function.cognitive.average,0,1,0,1,2,1,2,0,2,2,2,4,4,3,5,6,8,9,10,15,31,39,30
rca.function.cognitive.min,0,0,0,0,0,1,1,1,3,2,4,3,4,2,5,5,7,7,11,10,16,27,28
rca.function.cyclomatic.min,0,0,0,0,0,0,0,1,1,2,1,2,1,2,6,4,5,4,10,8,11,18,39
rca.function.loc.blank,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3,5,5,7,14,18,12,20
rca.function.loc.blank_average,1,0,0,0,0,1,2,2,2,9,5,6,5,5,11,8,7,11,9,16,20,17,23
rca.function.loc.blank_max,0,0,0,1,1,2,0,2,2,1,2,2,4,7,13,21,28,24,29,25,22,33,48
rca.function.loc.blank_min,0,0,1,0,1,0,2,2,3,4,7,6,10,9,5,8,12,9,8,11,15,33,26
rca.function.loc.cloc,0,2,0,2,1,2,4,4,6,7,8,8,6,11,9,12,18,15,23,28,26,16,28
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,7,8,11,15
rca.function.loc.ploc_average,0,0,0,1,2,2,2,1,4,2,3,3,4,4,5,8,8,10,22,22,22,28,47
rca.function.loc.ploc_min,0,0,1,2,3,2,1,1,7,6,5,4,9,15,11,15,22,20,23,32,29,34,34
rca.function.loc.sloc,1,2,0,2,2,1,2,3,4,4,6,5,5,8,5,11,11,26,26,32,32,27,24
rca.function.nargs.total,0,0,0,0,0,0,0,1,2,1,9,15,18,27,15,16,14,18,31,40,32,34,46
rca.function.nargs.total_functions,0,0,0,0,0,1,0,0,1,3,4,4,6,2,8,9,7,11,17,17,21,29,38
rca.function.nom.closures,0,0,0,0,1,2,2,3,3,8,11,12,9,5,15,20,28,22,30,27,29,46,53
rca.function.nom.functions,0,0,0,0,0,0,1,1,1,2,2,3,2,3,2,5,6,8,11,16,20,46,35
rca.function.nom.total,0,0,0,0,1,0,1,2,4,2,1,4,3,8,6,11,18,16,22,15,14,27,48
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,2,5,2,1,2,3,7,3,2,4,10,11,23,24
rca.function.halstead.N2,0,0,0,1,1,1,0,0,2,2,3,4,12,10,17,17,13,30,17,17,22,24,21
rca.function.halstead.bugs,0,0,0,0,0,0,0,0,0,0,3,1,7,4,1,4,4,23,18,22,11,12,19
rca.function.halstead.effort,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4,6,6,7,10,20,23
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,1,2,1,2,2,3,2,4,7,8,9,20,26,28,23,35
rca.function.halstead.length,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,4,5,4,9,26,43
rca.function.halstead.n2,0,0,0,0,1,1,2,3,3,6,7,11,16,18,14,10,10,19,25,32,24,47,48
rca.function.halstead.time,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2,2,2,8,8,5,10,19,15
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,4,8,4,4,11
