n_metrics    min    avg   max
2    0.33221060037612915    0.5544708827733994    0.6417900323867798
3    0.29453760385513306    0.46697753727436064    0.5707632303237915
4    0.19269636273384094    0.40179909992218016    0.5085130929946899
5    0.21849605441093445    0.35087532937526705    0.4539721608161926
6    0.17949147522449493    0.31045657336711885    0.41538235545158386
7    0.14816626906394958    0.2791171563863754    0.3843038082122803
8    0.12564200162887573    0.2532976966500282    0.3437803387641907
9    0.11073723435401917    0.22980050998926163    0.3197048604488373
10    0.11257407069206238    0.21270184323191643    0.29480916261672974
11    0.0908985361456871    0.19690470331907273    0.27312028408050537
12    0.07756905257701874    0.17695064654946327    0.2480485588312149
13    0.06588419526815414    0.15951014792919158    0.23084795475006104
14    0.06406094133853912    0.14704040071368218    0.21708278357982635
15    0.06228414550423622    0.13648367996513844    0.203052818775177
17    0.05324019491672516    0.11312748156487942    0.17120857536792755
20    0.026276564225554466    0.08943904372304678    0.14916642010211945
22    0.023442912846803665    0.07647409871220588    0.13114018738269806
24    0.027207132428884506    0.06609650592505932    0.10866793245077133
26    0.018950631842017174    0.05553283911943436    0.09322530031204224
28    0.014215449802577496    0.04798094635084271    0.07747238874435425
30    0.01281184982508421    0.04009607420116663    0.07303772121667862
35    0.006763043813407421    0.025588849522173406    0.04248268902301788
40    0.0033533263485878706    0.015053453902713955    0.028834564611315727
