Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,20,22,24,26,28,30,35,40
,0.55,0.46,0.40,0.35,0.31,0.28,0.26,0.24,0.22,0.20,0.19,0.17,0.16,0.15,0.13,0.11,0.09,0.08,0.07,0.06,0.05,0.04,0.02
rca.function.halstead.n1,36,39,46,50,47,44,48,49,50,58,63,58,57,64,54,65,65,70,67,76,78,82,86
rca.function.halstead.purity_ratio,31,44,52,50,58,58,66,58,68,63,65,69,65,68,72,76,71,77,83,82,87,88,92
rca.function.mi.mi_visual_studio,22,27,28,33,37,40,35,43,46,49,48,53,51,52,60,64,63,63,58,71,70,78,88
rca.function.mi.mi_original,3,15,22,30,35,44,38,41,43,48,50,54,50,58,54,58,62,64,72,72,67,78,84
rca.function.nom.closures_max,14,20,21,26,28,35,32,33,40,42,40,41,46,46,54,57,58,64,68,61,70,74,78
rca.function.mi.mi_sei,14,20,22,26,32,39,42,42,47,47,44,50,54,49,54,61,65,65,65,68,76,75,88
rca.function.nom.functions_min,8,18,20,24,27,32,32,36,38,38,44,44,50,52,52,52,62,59,64,66,67,80,78
rca.function.nom.closures_average,10,9,16,18,24,25,30,30,31,38,41,43,41,42,51,50,55,60,64,64,62,71,79
rca.function.halstead.level,8,10,15,18,23,28,29,33,39,39,38,42,43,45,51,57,61,64,65,68,72,77,83
rca.function.nom.functions_average,5,8,14,17,20,24,28,39,29,41,39,39,36,38,45,53,52,55,57,67,65,68,80
rca.function.nom.functions_max,1,6,11,21,22,24,28,31,34,36,36,36,46,41,45,56,56,62,58,68,66,77,82
rca.function.nargs.average,4,8,10,19,20,21,27,28,28,32,36,38,39,39,43,49,51,53,57,62,61,74,73
rca.function.nom.closures_min,4,7,14,21,21,22,24,33,30,35,34,40,38,50,48,52,58,59,66,66,66,72,77
rca.function.nargs.functions_max,1,4,5,8,16,19,24,24,26,28,24,38,38,35,44,41,48,54,52,55,63,65,73
rca.function.nargs.functions_min,5,8,10,12,22,21,23,27,30,29,35,32,39,39,41,47,50,58,62,63,63,61,70
rca.function.nargs.average_functions,2,4,11,13,12,18,26,24,27,30,32,34,40,37,44,51,50,53,57,55,62,69,77
rca.function.nargs.closures_max,6,8,11,14,14,20,24,26,26,30,33,28,36,39,40,45,46,50,58,60,59,73,76
rca.function.nargs.closures_min,1,3,5,8,12,14,20,23,26,25,34,36,35,33,41,45,52,48,59,52,62,66,74
rca.function.nargs.average_closures,4,6,7,10,20,16,22,20,24,26,27,32,30,33,36,46,48,53,53,60,57,70,73
rca.function.nexits.average,2,4,5,7,11,13,18,20,20,22,24,23,30,32,35,39,41,50,50,51,58,62,71
