n_metrics    min    avg   max
2    0.32863306999206543    0.545478154540062    0.643698513507843
3    0.22547303140163422    0.4568279694914818    0.5608014464378357
4    0.21001890301704407    0.3956788519024849    0.5034047365188599
5    0.191872701048851    0.34934002536535264    0.45730674266815186
6    0.1101810559630394    0.3116413555443287    0.41899117827415466
7    0.09810993820428848    0.2823265714347363    0.37467053532600403
8    0.12196735292673111    0.25801961025595666    0.35364216566085815
9    0.1123691275715828    0.2379459192454815    0.33569061756134033
10    0.09302986413240433    0.21731386438012124    0.30606332421302795
11    0.0924355536699295    0.2013023387491703    0.29305702447891235
12    0.07201284915208817    0.18818207603693007    0.2534393072128296
13    0.07707390934228897    0.17315014365315437    0.24769887328147888
14    0.07735000550746918    0.16219575607776643    0.226470947265625
15    0.05517002195119858    0.15145520278811456    0.23869642615318298
17    0.05018378421664238    0.132882193043828    0.19919830560684204
20    0.040694236755371094    0.10716597251594066    0.16685281693935394
22    0.03664931282401085    0.09429213967919349    0.1560826152563095
24    0.035372182726860046    0.08201265159249306    0.12380305677652359
26    0.02280421182513237    0.07134540247917175    0.10988656431436539
28    0.02756981924176216    0.06215353118628263    0.10225285589694977
30    0.019625209271907806    0.053957575030624864    0.08963845670223236
35    0.009443230926990509    0.03669039457663894    0.05706172063946724
40    0.007380452938377857    0.023333187963813545    0.043400440365076065
