Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40,45,50,55,60,65
,0.55,0.46,0.39,0.34,0.30,0.27,0.24,0.22,0.19,0.17,0.16,0.15,0.13,0.12,0.10,0.09,0.07,0.06,0.06,0.04,0.01,0.01,0.00,0.00,0.00,0.00
rca.function.halstead.n1,32,41,49,49,56,60,61,63,65,70,65,72,81,73,83,85,87,87,81,90,99,99,100,100,100,100
rca.function.halstead.purity_ratio,31,54,62,63,77,78,76,76,77,80,83,89,87,91,93,94,92,97,96,97,97,100,100,100,100,100
rca.function.nom.closures_max,15,30,24,41,50,51,51,42,45,61,59,59,55,65,75,76,79,80,77,82,95,97,99,100,100,100
rca.function.mi.mi_visual_studio,15,22,30,37,32,49,45,61,55,54,63,55,58,65,67,51,51,51,58,60,91,98,100,100,100,100
rca.function.mi.mi_original,10,12,26,31,42,49,55,47,66,69,72,70,73,75,72,84,82,78,84,84,97,99,100,100,100,100
rca.function.mi.mi_sei,19,21,17,33,39,46,49,50,46,62,64,63,66,71,74,83,82,83,85,79,95,99,100,100,100,100
rca.function.nom.closures_average,9,14,20,23,23,37,47,52,49,58,59,52,47,65,62,52,53,61,60,56,84,92,99,100,100,100
rca.function.nom.functions_average,8,5,8,16,30,38,35,34,56,51,50,50,66,63,56,61,67,68,64,77,90,91,98,100,100,100
rca.function.nom.functions_max,1,5,6,15,29,26,37,42,41,45,43,56,54,59,57,64,66,66,70,83,91,97,100,100,100,100
rca.function.halstead.level,6,10,13,17,20,23,30,36,42,42,52,55,54,56,68,75,75,86,87,90,97,98,100,100,100,100
rca.function.nargs.average,5,7,13,15,19,20,26,35,42,36,35,49,49,57,62,66,71,73,75,79,81,96,99,100,100,100
rca.function.nom.closures_min,4,9,18,22,14,20,28,31,25,41,43,37,47,53,57,59,51,49,48,70,78,94,96,99,100,100
rca.function.nargs.functions_max,1,4,3,7,11,12,14,22,25,31,32,43,50,39,55,69,76,74,63,81,90,93,99,100,100,100
rca.function.nom.functions_min,6,8,23,11,15,17,21,26,36,30,37,46,54,37,45,48,65,66,65,80,90,93,98,100,100,100
rca.function.nargs.functions_min,7,10,15,22,20,22,32,38,29,25,43,37,41,43,46,42,36,34,52,62,90,90,99,99,100,100
rca.function.nargs.closures_max,5,6,8,11,13,11,15,20,27,23,25,31,26,35,51,61,66,79,80,87,90,94,98,99,100,100
rca.function.nargs.average_functions,2,2,5,6,7,11,15,11,19,25,20,28,27,27,39,47,62,66,68,84,94,97,100,100,100,100
rca.function.nargs.closures_min,1,3,4,6,6,10,13,16,20,21,27,31,41,37,37,47,47,51,62,68,86,92,98,100,100,100
rca.function.nexits.average,2,3,4,3,5,7,9,13,22,22,22,24,19,27,37,44,54,62,64,75,88,96,98,100,100,100
rca.function.loc.lloc_average,1,4,4,6,7,9,7,16,13,19,23,27,29,35,33,39,51,50,61,68,67,81,89,98,100,100
rca.function.loc.lloc_max,1,1,1,2,2,3,8,5,5,8,12,17,15,17,26,36,50,63,54,68,85,93,98,99,100,100
rca.function.nargs.average_closures,5,6,8,10,11,17,20,33,23,28,33,30,32,38,41,41,38,35,47,45,68,86,92,100,100,100
rca.function.nexits.max,1,1,2,1,5,4,5,7,8,11,14,20,26,25,34,35,47,46,53,62,70,84,95,100,100,100
rca.function.loc.cloc_min,0,3,4,4,6,10,12,17,15,17,18,23,21,24,33,40,46,48,51,60,84,84,95,96,98,100
rca.function.loc.sloc_average,0,0,0,1,1,0,1,1,5,5,7,6,9,11,10,20,35,45,45,56,65,76,88,92,98,100
rca.function.loc.cloc_max,1,3,4,5,6,8,11,9,11,14,17,15,16,20,21,18,29,27,36,45,53,71,77,91,97,100
rca.function.nom.closures,0,0,0,0,1,1,1,2,4,3,7,7,9,9,15,19,22,28,46,50,67,67,66,84,94,100
rca.function.halstead.difficulty,0,0,1,2,3,4,4,7,6,9,10,14,15,21,25,35,29,39,49,43,80,87,94,99,100,100
rca.function.halstead.vocabulary,0,0,0,0,0,1,3,2,3,5,7,11,7,13,23,22,32,44,46,60,65,73,88,98,100,100
rca.function.cognitive.average,0,0,0,1,0,0,1,3,1,3,2,2,3,3,6,11,11,17,22,41,55,54,69,82,96,100
rca.function.cognitive.min,0,0,0,0,1,0,0,1,1,1,2,2,3,1,5,5,5,8,12,19,54,67,71,91,97,100
rca.function.cognitive.sum,0,1,2,3,3,3,5,5,8,10,9,10,11,11,13,23,21,26,31,39,80,84,92,95,98,100
rca.function.cyclomatic.average,1,0,1,1,1,0,1,1,1,2,1,2,2,3,4,11,15,19,23,34,65,70,79,88,89,100
rca.function.loc.cloc_average,2,3,5,7,10,8,7,9,11,16,16,16,25,20,22,21,23,26,32,30,57,65,78,89,97,100
rca.function.loc.lloc_min,1,1,3,3,4,4,5,5,12,10,12,11,17,15,20,18,23,21,31,43,53,62,72,91,98,100
rca.function.loc.ploc_max,1,1,1,2,1,3,2,4,3,2,5,6,6,7,8,11,15,22,26,29,59,76,94,93,97,100
rca.function.loc.sloc,1,0,1,2,2,1,3,4,5,6,5,4,6,7,7,12,16,24,15,30,58,62,82,93,97,100
rca.function.loc.sloc_min,0,1,1,1,1,2,2,3,3,4,5,10,8,10,12,17,19,25,25,42,58,71,86,88,99,100
rca.function.nexits.min,1,1,3,6,8,8,11,15,24,25,28,31,32,35,31,33,27,35,44,45,74,83,95,99,100,100
rca.function.halstead.n2,0,0,0,0,0,0,0,0,2,2,4,8,11,17,18,23,34,35,36,55,45,60,77,89,97,100
rca.function.cognitive.max,0,2,1,1,2,3,5,4,8,4,8,10,8,12,13,12,14,18,27,28,44,59,78,85,98,100
rca.function.loc.cloc,0,0,1,1,1,1,1,2,2,3,4,4,4,7,10,8,12,13,13,22,49,55,63,80,93,100
rca.function.loc.lloc,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,5,6,6,12,16,46,62,74,84,94,100
rca.function.nom.total,0,0,0,0,0,0,0,1,1,1,2,4,4,4,10,13,15,19,16,27,44,64,76,73,92,99
rca.function.cyclomatic.min,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,6,4,5,10,14,41,51,65,66,82,99
rca.function.loc.ploc_average,0,1,0,1,1,2,2,2,2,2,2,4,5,4,5,6,8,12,12,13,26,45,58,83,95,100
rca.function.loc.ploc_min,1,1,1,2,2,2,2,1,5,6,7,5,6,8,12,17,27,33,32,43,47,44,65,88,98,100
rca.function.loc.sloc_max,0,0,1,1,2,1,3,2,3,3,4,3,4,6,8,10,13,12,21,23,40,53,61,88,96,100
rca.function.nargs.total_closures,1,2,2,3,2,4,3,5,7,8,7,11,12,7,16,21,23,25,30,35,39,48,71,85,95,100
rca.function.nom.average,1,2,5,5,7,8,9,12,11,14,13,13,17,18,19,26,27,27,29,46,52,54,58,65,66,83
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,5,9,13,17,31,57,64,62,62,58,22
rca.function.cyclomatic.sum,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,4,5,8,8,21,26,25,36,62,84,100
rca.function.nargs.total_functions,0,0,0,0,0,0,0,0,1,1,0,0,1,2,5,6,6,11,12,19,42,40,43,66,75,99
rca.function.nexits.sum,0,0,0,0,0,1,1,1,0,2,5,4,5,6,3,10,13,9,14,20,31,46,52,65,87,100
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,3,4,10,20,33,48,71,76,98
rca.function.cyclomatic.max,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,11,10,14,13,22,24,34,39,48,73,99
rca.function.loc.blank_average,0,0,0,0,1,0,1,2,1,1,2,2,2,2,2,3,2,4,3,6,18,31,40,52,74,97
rca.function.nargs.total,0,0,0,0,0,0,1,0,1,1,1,4,11,18,13,12,16,27,35,45,47,48,44,57,89,100
rca.function.halstead.N2,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,4,3,5,8,13,27,47,49,54,66,89
rca.function.halstead.length,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,13,33,42,40,54,72,89
rca.function.loc.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,6,7,8,13,13,25,39,83
rca.function.loc.blank_max,0,0,1,1,0,1,0,1,2,1,1,1,2,1,2,4,4,5,6,9,22,24,29,31,55,91
rca.function.loc.blank_min,0,0,0,0,0,0,1,0,1,1,2,2,1,2,2,3,5,6,8,15,35,35,42,50,62,95
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,7,9,10,13,19,19,31,95
rca.function.nom.functions,0,0,0,0,0,1,1,1,1,1,1,2,3,3,5,2,6,5,5,18,20,17,25,34,61,99
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,9,24,25,22,36,84
rca.function.halstead.bugs,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,6,5,10,8,29,35,45,58,74,53
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,7,10,11,8,15,4
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,5,5,19,17,15,17,12,20
