n_metrics    min    avg   max
2    0.32371723651885986    0.5481078392074954    0.6413930654525757
3    0.2261781394481659    0.4579589577451829    0.560664176940918
4    0.16890062391757965    0.3932836877722894    0.5044775605201721
5    0.1336180418729782    0.344185161927054    0.4458102583885193
6    0.1253388226032257    0.30185133531208963    0.40702295303344727
7    0.0845135897397995    0.2678190268335804    0.3711281418800354
8    0.10495233535766602    0.2395541636453521    0.3385101556777954
9    0.0768297016620636    0.21569748960675733    0.30930230021476746
10    0.07086475193500519    0.19421748997222993    0.28755709528923035
11    0.056701503694057465    0.17473990104852183    0.2587521970272064
12    0.05168633908033371    0.1600526406880348    0.2432660013437271
13    0.047208718955516815    0.1454228182233149    0.2291882485151291
14    0.04379841312766075    0.1319970129838874    0.20992058515548706
15    0.03891889378428459    0.1204418737561472    0.18908511102199554
17    0.033149875700473785    0.10013593532625706    0.1637338101863861
19    0.020687419921159744    0.08641067421244036    0.14788366854190826
21    0.025783605873584747    0.07364312094305792    0.1323474645614624
23    0.021886933594942093    0.0632859307491491    0.11151979863643646
25    0.017936930060386658    0.05535754224345569    0.0964481309056282
30    0.005276864394545555    0.03659772834169769    0.07122401893138885
40    0.0014983356231823564    0.012491121038328857    0.029823586344718933
45    0.000386976869776845    0.006069939228660998    0.017548494040966034
50    0.00021028902847319841    0.002253716934524897    0.009930781088769436
55    3.58861725544557e-05    0.0006935400802185834    0.004711660090833902
60    2.5277638542320346e-06    0.0001380353709515886    0.001752287382259965
65    2.947475508108255e-08    5.602595932865671e-06    0.0003013529349118471
