n_metrics    min    avg   max
2    0.32371723651885986    0.5484442928007671    0.6413930654525757
3    0.24442119896411896    0.46660669972854    0.5605905055999756
4    0.1855698674917221    0.41119655471827304    0.5020333528518677
5    0.18280524015426636    0.3700541044984545    0.4590299427509308
6    0.1803962141275406    0.33339628667703697    0.41916677355766296
7    0.1427547186613083    0.300716534363372    0.38202592730522156
8    0.1377968192100525    0.27964000473065037    0.353305459022522
9    0.12419524043798447    0.25802360163735494    0.3396684229373932
10    0.12259173393249512    0.23651570901274682    0.31474342942237854
11    0.1187795028090477    0.21849413234740495    0.29165971279144287
12    0.1045154258608818    0.2038688125088811    0.27009084820747375
13    0.10041291266679764    0.1848518285102078    0.2565491497516632
14    0.09165796637535095    0.16725189326597112    0.23978739976882935
15    0.07535216212272644    0.15675455621842826    0.22797274589538574
17    0.05861924961209297    0.14391934465883033    0.19820702075958252
19    0.05308089405298233    0.11804667431861163    0.17071695625782013
21    0.037245575338602066    0.10434179846197367    0.15067137777805328
23    0.03611980378627777    0.09117108079205666    0.12813563644886017
25    0.024571068584918976    0.07854102857943092    0.10951152443885803
30    0.021199645474553108    0.05215416702308825    0.0781286358833313
40    0.00637164618819952    0.01908331469998562    0.03184947371482849
