Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40
,0.55,0.46,0.39,0.34,0.30,0.27,0.25,0.22,0.21,0.19,0.17,0.15,0.14,0.13,0.11,0.09,0.08,0.07,0.06,0.04,0.01
rca.function.halstead.n1,24,26,54,40,48,66,54,52,48,62,80,74,82,84,78,88,84,82,80,68,98
rca.function.halstead.purity_ratio,14,34,58,68,76,72,60,64,68,54,62,76,76,74,80,76,80,84,90,88,100
rca.function.nom.functions_min,12,34,24,26,30,50,40,48,54,50,50,64,60,66,62,60,72,72,74,84,92
rca.function.nom.closures_average,18,14,10,28,34,28,46,40,38,40,56,58,58,62,72,62,64,76,80,82,94
rca.function.mi.mi_visual_studio,20,20,20,30,48,44,48,48,44,40,50,66,56,58,80,78,80,88,90,90,92
rca.function.nom.closures_min,8,14,18,24,30,58,54,44,62,52,58,70,74,74,76,68,84,70,76,94,90
rca.function.halstead.level,14,18,20,18,26,32,40,50,48,48,46,52,40,48,62,52,62,66,72,86,90
rca.function.nom.closures_max,14,20,18,26,38,36,36,42,36,52,36,44,48,58,68,68,70,72,84,80,94
rca.function.mi.mi_original,10,14,22,42,16,18,36,26,52,46,50,56,62,64,46,58,50,56,50,70,68
rca.function.nexits.average,0,8,4,8,20,34,26,40,36,40,30,44,40,52,46,52,54,58,58,72,74
rca.function.nargs.closures_min,2,4,6,10,10,12,36,22,36,42,40,24,44,42,58,66,52,62,62,76,82
rca.function.nom.functions_average,4,10,16,26,16,8,18,24,22,26,44,40,56,56,54,58,76,66,74,84,90
rca.function.nargs.functions_min,4,16,8,6,20,22,26,36,44,36,38,46,28,44,58,68,76,74,76,86,84
rca.function.nom.functions_max,0,0,20,14,32,26,20,36,38,38,40,40,48,40,46,62,58,72,68,64,82
rca.function.nargs.average_closures,4,4,10,14,12,20,20,30,22,38,34,50,36,50,66,74,64,74,68,66,92
rca.function.nargs.average,4,4,10,14,8,4,6,12,18,28,40,30,36,36,34,48,46,48,52,72,82
rca.function.nargs.average_functions,4,8,12,20,30,32,34,32,34,34,22,24,32,38,60,58,56,58,66,68,56
rca.function.mi.mi_sei,24,26,24,22,12,12,32,32,34,40,42,24,42,26,26,36,44,44,46,66,88
rca.function.nargs.functions_max,4,0,10,8,8,12,18,24,14,30,28,20,36,42,38,48,36,44,54,72,94
rca.function.loc.lloc_average,2,2,4,0,0,10,6,4,10,12,8,16,12,18,38,44,56,58,50,52,70
rca.function.loc.lloc_min,0,2,0,6,8,6,4,22,24,18,24,24,16,32,44,24,32,46,48,46,70
rca.function.nargs.closures_max,4,2,0,8,10,4,8,12,12,6,8,10,10,12,24,30,46,54,54,58,78
rca.function.nexits.max,0,0,4,0,6,10,12,12,14,18,22,34,36,42,32,40,46,60,56,56,76
rca.function.loc.cloc_min,0,6,0,6,2,10,12,26,22,36,28,34,38,36,28,40,44,42,46,62,78
rca.function.nargs.total_closures,0,0,0,2,0,2,4,6,4,8,8,20,14,16,32,40,42,46,48,46,76
rca.function.loc.cloc_max,4,2,12,6,16,14,16,12,8,6,12,10,18,14,26,18,40,34,48,52,56
rca.function.nexits.min,4,2,2,8,6,10,18,20,18,30,28,22,34,28,30,46,44,44,40,60,78
rca.function.loc.lloc,0,0,0,0,0,4,8,6,12,6,4,6,4,8,6,14,16,20,16,50,62
rca.function.loc.lloc_max,0,0,2,0,8,8,4,8,10,20,22,28,20,34,20,38,30,24,32,60,74
rca.function.loc.sloc_min,0,2,0,0,2,0,0,0,6,6,0,2,12,16,12,22,22,34,42,48,76
rca.function.cognitive.max,0,0,0,2,2,4,2,4,6,8,6,2,6,8,8,8,8,16,16,24,50
rca.function.cyclomatic.max,0,0,0,0,0,0,0,0,4,0,2,2,0,0,10,6,16,24,24,22,60
rca.function.cyclomatic.sum,0,0,0,0,0,0,0,0,0,2,0,0,4,2,2,10,8,6,24,38,52
rca.function.loc.cloc_average,2,0,6,8,12,6,6,10,10,10,10,22,14,22,26,30,30,42,38,40,72
rca.function.loc.ploc_max,0,0,0,0,0,0,2,2,0,6,10,2,6,8,10,14,26,20,20,38,60
rca.function.loc.sloc_average,0,0,0,0,0,0,2,2,4,4,8,10,6,8,12,2,22,14,22,36,74
rca.function.nexits.sum,0,0,0,0,0,2,0,2,6,4,6,4,4,4,8,4,16,12,16,20,62
rca.function.nom.average,0,0,0,2,4,2,6,10,8,14,12,14,14,12,20,26,30,40,32,44,70
rca.function.nom.total,0,0,0,0,0,2,0,0,4,0,6,2,6,6,6,12,6,16,26,20,52
rca.function.halstead.vocabulary,0,0,0,0,0,0,2,2,0,6,4,2,4,0,2,4,8,14,24,32,62
rca.function.cognitive.average,0,0,0,2,0,0,2,0,4,0,0,4,4,2,2,2,10,20,6,22,28
rca.function.cognitive.min,0,0,0,0,0,0,2,2,6,6,2,8,8,6,0,6,10,18,14,18,36
rca.function.cognitive.sum,0,2,0,0,2,4,2,10,4,6,14,14,14,14,10,12,14,14,18,42,44
rca.function.cyclomatic.average,0,0,0,0,0,0,4,0,0,2,6,4,4,4,4,14,14,26,32,34,42
