n_metrics    min    avg   max
2    0.33221060037612915    0.545579794049263    0.6301954984664917
3    0.29453760385513306    0.4583522617816925    0.5472391843795776
4    0.1855698674917221    0.390605888068676    0.4727267026901245
5    0.22297528386116028    0.3442888429760933    0.41711047291755676
6    0.17949147522449493    0.3036572203040123    0.37609726190567017
7    0.14816626906394958    0.273647440969944    0.34858494997024536
8    0.12564200162887573    0.24769242465496064    0.3207661509513855
9    0.11073723435401917    0.22241024285554886    0.2799816429615021
10    0.07728750258684158    0.20614008322358132    0.2569192349910736
11    0.08359459042549133    0.19063614889979363    0.24580025672912598
12    0.07756905257701874    0.1730506421625614    0.22674612700939178
13    0.06588419526815414    0.15336198821663857    0.2085266262292862
14    0.05646775662899017    0.14349282398819924    0.19225573539733887
15    0.04494281858205795    0.12890011176466942    0.1816452592611313
17    0.05324019491672516    0.10754268638789653    0.14563462138175964
19    0.03158513829112053    0.09235308416187764    0.12921087443828583
21    0.02619185298681259    0.07918067157268524    0.113008514046669
23    0.021340565755963326    0.06653716389089823    0.09803127497434616
25    0.02233116142451763    0.05802856221795082    0.08237405121326447
30    0.01281184982508421    0.03811511915177107    0.056091565638780594
40    0.0033533263485878706    0.014020631150342524    0.028834564611315727
