n_metrics    min    avg   max
2    0.33221060037612915    0.553097907773086    0.6413930654525757
3    0.2547246515750885    0.46569644053067477    0.5655494928359985
4    0.1855698674917221    0.401389839766281    0.5027391314506531
5    0.17696046829223633    0.3495820926236255    0.4539721608161926
6    0.17567035555839539    0.3103953425905534    0.41538235545158386
7    0.13738468289375305    0.27833750322461126    0.3843038082122803
8    0.12564200162887573    0.25246923539255345    0.3437803387641907
9    0.11073723435401917    0.22844861067299332    0.3169618844985962
10    0.07728750258684158    0.20897073056548834    0.2914636731147766
11    0.08359459042549133    0.19381481813532966    0.26170817017555237
12    0.07756905257701874    0.17640541781272207    0.2480485886335373
13    0.06588419526815414    0.158699509474848    0.225972518324852
14    0.05646775662899017    0.144945224228182    0.21065177023410797
15    0.04494281858205795    0.13342724051326513    0.2030528485774994
17    0.05324019491672516    0.11222523618489504    0.17120857536792755
19    0.03158513829112053    0.0954083459983979    0.15550625324249268
21    0.02619185298681259    0.08143520460331015    0.13012416660785675
23    0.021340565755963326    0.06938077648436385    0.11142097413539886
25    0.021370891481637955    0.05955479887447187    0.09934551268815994
30    0.009122597984969616    0.039387891431605176    0.0669746845960617
40    0.0033533263485878706    0.014645464579474979    0.028834564611315727
