Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40
,0.55,0.46,0.39,0.34,0.31,0.27,0.24,0.22,0.20,0.18,0.17,0.15,0.14,0.13,0.11,0.09,0.08,0.07,0.06,0.04,0.01
rca.function.halstead.n1,32,32,54,46,58,70,74,74,70,76,74,76,74,72,88,82,94,84,86,82,98
rca.function.mi.mi_visual_studio,20,46,50,62,60,42,68,76,72,66,72,72,82,66,76,66,62,68,70,80,92
rca.function.halstead.purity_ratio,12,28,18,40,44,62,78,72,76,66,82,78,84,76,90,78,90,82,88,84,100
rca.function.nom.closures_average,6,10,16,36,44,56,62,70,72,74,80,82,72,70,74,80,86,84,84,86,96
rca.function.nom.closures_max,8,16,20,18,26,44,38,66,76,74,78,78,72,76,78,84,86,82,84,86,96
rca.function.nom.functions_min,4,4,16,20,30,36,58,62,64,66,70,82,80,70,58,68,64,68,70,78,100
rca.function.mi.mi_original,12,14,16,18,20,42,50,48,54,62,72,64,72,74,60,72,62,74,70,86,92
rca.function.nargs.closures_min,2,2,6,12,20,36,22,32,60,42,52,42,44,52,56,64,72,84,78,74,92
rca.function.nargs.functions_max,0,4,8,12,14,20,46,58,58,60,60,68,66,56,56,52,56,66,76,90,88
rca.function.halstead.level,16,14,24,30,26,22,20,28,36,42,48,50,50,56,52,70,58,72,66,84,84
rca.function.mi.mi_sei,20,14,14,20,26,36,26,22,42,36,56,52,58,48,60,56,66,74,80,84,96
rca.function.nom.closures_min,8,14,20,20,20,16,34,16,18,34,34,48,48,58,68,68,60,60,70,86,88
rca.function.nexits.average,2,4,10,8,12,18,16,22,34,44,24,24,40,36,50,48,62,70,74,74,76
rca.function.nom.functions_average,22,26,34,26,32,20,18,22,14,20,18,10,20,36,20,48,48,56,52,64,76
rca.function.loc.lloc_min,0,2,4,2,4,4,8,14,16,32,28,30,26,40,40,36,34,44,46,54,70
rca.function.nargs.average,10,8,12,16,26,20,12,20,16,14,16,18,16,34,34,48,56,54,60,56,70
rca.function.nargs.average_functions,2,16,8,6,16,10,10,4,8,20,16,28,26,24,26,46,42,54,50,66,80
rca.function.nargs.closures_max,8,4,8,10,6,6,12,12,12,10,12,34,28,30,36,42,54,48,52,58,86
rca.function.nexits.min,2,4,0,8,12,6,12,14,14,12,24,38,44,36,38,42,38,46,40,64,74
rca.function.nom.functions_max,2,6,4,8,6,12,12,8,8,16,24,16,20,32,40,40,46,62,66,62,68
rca.function.loc.lloc_average,0,0,4,8,4,6,2,6,6,4,8,12,6,10,20,36,50,60,58,52,60
rca.function.nargs.functions_min,4,6,8,20,10,22,4,4,12,12,10,16,14,16,24,48,38,48,58,52,82
rca.function.halstead.difficulty,0,2,4,2,6,8,8,12,6,22,26,28,52,42,40,30,34,34,36,54,68
rca.function.loc.lloc_max,2,0,2,4,8,2,2,0,10,10,8,6,12,12,20,10,40,34,48,66,72
rca.function.nargs.average_closures,2,10,4,10,10,6,10,14,12,10,10,10,14,10,22,22,36,38,46,72,76
rca.function.nargs.total_closures,0,0,0,0,2,4,8,2,4,10,18,16,8,14,26,52,44,30,40,38,66
rca.function.nom.average,0,2,6,8,10,12,10,18,14,16,14,16,18,26,28,26,28,34,54,52,70
rca.function.cognitive.min,0,2,0,0,2,2,4,4,8,6,2,6,8,8,14,16,24,26,22,46,60
rca.function.cyclomatic.sum,0,0,0,0,0,0,2,0,2,0,0,6,6,4,12,2,16,28,28,48,52
rca.function.loc.cloc_average,0,8,2,8,8,16,20,12,12,14,12,24,32,20,24,28,26,28,44,34,64
rca.function.loc.cloc_min,0,0,8,0,10,6,6,6,12,12,14,10,16,14,28,22,30,30,42,62,60
