n_metrics    min    avg   max
2    0.3319513499736786    0.546194486618042    0.6287651062011719
3    0.28322097659111023    0.4604377621412277    0.5467181205749512
4    0.21435534954071045    0.3949533998966217    0.48284170031547546
5    0.15944592654705048    0.3444247871637344    0.4253152906894684
6    0.1378762423992157    0.30502997726202014    0.3805031180381775
7    0.13194207847118378    0.2719451481103897    0.34149083495140076
8    0.14400875568389893    0.24227540969848632    0.33663079142570496
9    0.08532120287418365    0.21853943765163422    0.276542991399765
10    0.08064036071300507    0.19859444171190263    0.26119354367256165
11    0.08060161024332047    0.18276593640446662    0.24351061880588531
12    0.07334470003843307    0.16503278836607932    0.22494131326675415
13    0.07978800684213638    0.15107332348823546    0.21113444864749908
14    0.06744511425495148    0.13944986268877982    0.20173968374729156
15    0.06930139660835266    0.13203590780496596    0.19069334864616394
17    0.0597149059176445    0.1109461746364832    0.16950620710849762
19    0.037809085100889206    0.09470698408782482    0.1276957392692566
21    0.04054895043373108    0.08084635771811008    0.11971813440322876
23    0.0389617495238781    0.06770022056996822    0.10094012320041656
25    0.023743409663438797    0.056688474714756014    0.0855185016989708
30    0.014869309961795807    0.038009469993412495    0.058269202709198
40    0.004048604518175125    0.013734302036464214    0.023814095184206963
