Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40
,0.55,0.47,0.41,0.35,0.31,0.28,0.25,0.23,0.20,0.19,0.17,0.16,0.14,0.14,0.11,0.10,0.08,0.07,0.06,0.04,0.01
rca.function.halstead.n1,32,32,51,60,58,68,71,76,74,82,80,75,78,76,79,84,84,85,86,82,94
rca.function.mi.mi_visual_studio,21,39,43,51,53,48,66,71,74,70,72,76,78,70,71,72,62,63,72,79,86
rca.function.halstead.purity_ratio,16,29,20,35,54,65,73,74,74,71,76,78,79,72,85,80,78,82,87,92,100
rca.function.nom.closures_average,5,19,16,34,46,59,65,67,71,77,81,81,75,79,77,83,82,85,87,86,92
rca.function.nom.closures_max,10,16,24,22,32,36,35,56,70,72,79,72,75,78,82,82,85,88,86,87,94
rca.function.nom.functions_min,4,7,12,16,21,38,56,61,60,59,72,74,78,70,62,58,65,61,72,71,93
rca.function.mi.mi_original,11,12,13,17,20,38,47,46,49,60,70,71,70,69,63,63,67,66,70,77,92
rca.function.nargs.functions_max,1,2,8,12,21,25,51,54,56,57,66,64,66,55,55,57,60,64,71,81,88
rca.function.mi.mi_sei,20,21,23,22,34,40,22,26,37,50,59,55,54,53,64,58,70,76,78,79,95
rca.function.nargs.closures_min,1,2,6,10,22,28,20,32,46,54,52,44,52,55,64,69,71,72,76,70,87
rca.function.halstead.level,8,11,19,24,22,20,20,27,36,38,44,46,50,55,62,71,70,76,78,84,86
rca.function.nom.closures_min,5,8,21,21,15,18,28,28,19,30,29,42,45,52,62,60,57,68,70,83,90
rca.function.nom.functions_average,21,18,32,25,26,16,18,16,19,21,20,19,20,32,29,43,55,58,53,67,83
rca.function.nexits.average,1,2,7,10,9,10,14,19,29,31,25,28,36,38,49,52,61,69,72,67,76
rca.function.nargs.average_functions,5,12,9,11,10,13,13,11,15,16,15,22,26,26,37,51,45,52,50,68,80
rca.function.nargs.closures_max,7,5,6,10,9,9,12,14,12,10,13,38,29,29,30,46,54,51,52,63,82
rca.function.loc.lloc_min,1,1,2,5,6,5,11,15,17,20,24,25,28,38,39,39,31,41,46,50,70
rca.function.nargs.average,4,9,16,16,18,15,13,16,17,21,16,18,17,32,33,45,54,61,57,61,80
rca.function.nargs.functions_min,5,5,8,13,17,17,10,6,11,12,9,15,15,18,28,44,51,50,62,58,85
rca.function.loc.lloc_average,1,2,4,5,2,5,2,6,4,8,9,10,10,15,28,36,52,54,59,56,71
rca.function.nexits.min,1,3,3,6,10,9,8,12,13,11,18,32,38,41,35,33,35,34,38,52,74
rca.function.nom.functions_max,2,8,8,10,11,13,10,9,12,11,22,16,22,25,30,39,52,58,54,69,73
rca.function.loc.lloc_max,1,1,2,4,6,5,4,4,8,9,8,6,9,12,22,18,32,35,42,64,68
rca.function.nargs.average_closures,2,12,8,8,10,6,11,8,10,9,10,9,12,13,19,26,34,39,48,61,74
rca.function.halstead.difficulty,0,2,2,2,4,7,11,14,10,12,15,30,43,34,40,30,26,30,40,54,70
rca.function.loc.cloc_min,2,1,4,4,7,9,8,8,14,11,16,11,13,12,21,18,28,33,41,60,61
rca.function.nargs.total_closures,1,0,1,2,3,6,6,8,6,12,16,16,15,21,23,47,42,35,40,35,68
rca.function.cognitive.min,0,0,0,0,0,1,2,3,4,6,5,5,6,7,12,15,26,24,23,44,61
rca.function.loc.sloc_average,0,0,0,0,0,1,2,6,3,2,6,3,5,11,8,18,14,21,31,50,57
rca.function.nexits.max,1,1,3,2,4,6,7,10,8,8,10,11,13,10,16,22,22,29,39,49,62
rca.function.nom.average,1,2,4,6,8,8,9,11,11,11,13,15,16,18,23,23,25,29,43,42,60
rca.function.cyclomatic.sum,0,0,0,0,1,1,2,1,2,2,2,4,5,5,10,8,15,22,24,45,49
rca.function.loc.cloc_average,1,5,4,3,10,13,16,13,13,12,9,22,26,22,22,27,27,32,34,36,64
rca.function.loc.cloc_max,1,2,8,14,6,6,5,12,11,10,11,13,12,19,29,29,33,34,38,39,59
rca.function.loc.lloc,0,0,0,0,0,1,10,9,15,26,31,22,19,24,21,24,25,31,30,44,45
rca.function.loc.ploc_min,1,1,1,1,2,3,1,2,3,5,4,5,4,6,11,11,16,17,20,25,57
rca.function.loc.sloc_max,0,0,1,1,1,3,4,4,6,7,11,13,12,22,21,18,28,35,35,40,58
rca.function.loc.sloc_min,1,0,1,2,2,5,2,5,3,7,4,9,9,10,10,28,21,24,22,26,60
rca.function.nom.closures,0,1,1,1,1,2,3,5,9,4,9,11,20,16,20,18,21,28,30,35,51
rca.function.nom.total,0,0,0,1,1,1,2,4,2,2,2,5,9,9,14,16,21,25,29,40,51
rca.function.halstead.n2,0,0,0,0,0,0,0,1,0,1,1,2,3,3,5,5,7,8,15,33,55
rca.function.halstead.vocabulary,0,0,0,0,1,0,1,2,2,5,4,5,6,11,9,23,21,20,18,26,59
rca.function.cognitive.average,0,0,0,1,1,1,2,1,2,2,1,1,3,4,3,6,6,7,10,21,46
rca.function.cognitive.max,0,1,1,2,5,6,6,4,6,6,6,9,10,6,10,12,13,22,21,26,46
rca.function.cognitive.sum,0,1,1,1,0,1,2,2,2,3,5,3,6,9,17,22,31,30,25,43,46
rca.function.cyclomatic.average,0,0,0,0,1,1,1,1,0,2,1,2,3,8,8,10,10,9,17,34,41
rca.function.cyclomatic.max,0,0,0,0,0,1,1,0,2,2,1,1,3,5,7,5,9,9,8,18,40
rca.function.cyclomatic.min,0,0,0,0,0,0,1,1,2,3,2,2,4,5,4,9,10,10,10,18,38
rca.function.loc.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,3,6,33
rca.function.loc.blank_average,0,0,0,0,0,1,1,2,2,2,1,1,3,5,7,5,5,6,6,8,23
rca.function.loc.blank_max,0,0,0,0,0,0,0,1,1,1,2,3,2,3,11,6,10,14,22,20,18
rca.function.loc.blank_min,0,0,0,1,0,0,0,0,0,1,0,1,7,3,3,4,8,10,14,32,38
rca.function.loc.cloc,0,0,0,0,1,5,2,2,1,1,3,2,5,6,9,10,10,16,22,29,37
rca.function.loc.ploc,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,3,10,20
rca.function.loc.ploc_average,1,1,1,1,1,0,1,2,3,1,3,3,6,2,3,6,11,11,14,19,46
rca.function.loc.ploc_max,0,1,1,1,1,0,2,1,4,5,5,5,9,15,17,16,21,20,22,25,39
rca.function.loc.sloc,0,0,1,1,2,1,1,2,1,1,2,1,4,4,5,7,10,14,13,21,42
rca.function.nargs.total,0,0,0,0,0,0,1,1,1,0,1,2,2,4,8,13,22,20,19,26,42
rca.function.nargs.total_functions,0,0,0,0,0,0,1,3,4,3,5,16,17,18,16,11,11,10,12,20,36
rca.function.nexits.sum,0,0,0,0,1,2,2,3,6,19,19,19,12,21,20,20,17,27,27,31,43
rca.function.nom.functions,0,0,1,0,0,1,1,1,1,2,2,2,3,5,11,10,13,12,19,22,36
rca.function.halstead.N1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,16,24,33,50
rca.function.halstead.N2,0,0,0,0,0,0,1,1,1,1,0,1,1,1,4,5,10,21,21,19,39
rca.function.halstead.bugs,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,5,6,5,10,32
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,6,4,11,11
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,4,8,15,18,20,32
rca.function.halstead.length,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,3,14,32
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,10,15
rca.function.halstead.volume,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,11,11,16,21,19
