n_metrics    min    avg   max
2    0.33162450790405273    0.5538025002394403    0.6433255076408386
3    0.28322097659111023    0.46800967007875444    0.5637138485908508
4    0.21435534954071045    0.4056983096791165    0.5049334168434143
5    0.15944592654705048    0.35467298036175116    0.4579257369041443
6    0.1378762423992157    0.3132662369204419    0.41074416041374207
7    0.13194207847118378    0.278601269956146    0.37533849477767944
8    0.13683980703353882    0.25113449687404293    0.34211745858192444
9    0.08532120287418365    0.22519577113645417    0.3089399039745331
10    0.08064036071300507    0.20498825734747309    0.2888675928115845
11    0.08060161024332047    0.18755167344851154    0.2635842561721802
12    0.07334470003843307    0.16924347095191478    0.24497731029987335
13    0.05058329179883003    0.15571393632729139    0.23331446945667267
14    0.05990440770983696    0.14420578898862005    0.21772725880146027
15    0.054871004074811935    0.13532351818201796    0.21255193650722504
17    0.05177902430295944    0.11386222297857915    0.1776154339313507
19    0.037809085100889206    0.09651006245985627    0.15527939796447754
21    0.031652942299842834    0.08312189972826413    0.13716551661491394
23    0.02646041288971901    0.07051310031674803    0.11204102635383606
25    0.0179949551820755    0.059619328898510765    0.10046296566724777
30    0.013249997049570084    0.04049153022268521    0.06817357242107391
40    0.003210663329809904    0.01473841454966792    0.02670350670814514
