Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,30,40
,0.55,0.47,0.41,0.37,0.33,0.30,0.28,0.26,0.24,0.22,0.20,0.19,0.17,0.16,0.14,0.12,0.10,0.09,0.08,0.05,0.02
rca.function.halstead.purity_ratio,30,35,39,64,57,48,46,54,61,53,70,72,71,82,84,90,85,87,82,86,90
rca.function.halstead.n1,32,30,45,38,53,68,71,76,70,64,56,61,70,77,76,81,78,81,79,90,98
rca.function.nom.closures_min,4,10,46,56,45,39,34,42,62,46,60,75,79,74,64,79,75,58,55,85,94
rca.function.nom.closures_average,16,21,34,25,61,70,70,56,68,38,47,51,68,65,60,76,49,33,61,64,90
rca.function.nargs.functions_min,4,5,3,10,36,38,32,34,51,32,36,48,60,64,59,76,71,64,50,64,95
rca.function.nom.functions_min,17,2,21,5,7,8,10,23,62,68,52,65,78,77,76,80,78,84,87,57,87
rca.function.nargs.average_functions,3,6,21,7,2,31,29,30,48,39,39,61,71,68,60,78,51,60,52,66,34
rca.function.nexits.min,0,4,3,25,34,38,32,31,51,40,35,48,60,62,52,67,36,20,21,55,95
rca.function.mi.mi_sei,14,14,9,9,25,38,38,19,16,11,38,72,75,72,59,75,38,48,74,77,94
rca.function.mi.mi_visual_studio,23,25,25,34,20,6,12,31,23,40,31,31,76,70,52,81,90,80,69,58,86
rca.function.loc.cloc_min,2,2,8,10,5,7,8,4,5,11,46,52,61,60,49,76,86,80,82,48,63
rca.function.nom.functions_average,2,35,19,41,15,12,14,36,29,46,34,38,29,28,31,81,87,85,85,80,91
rca.function.loc.cloc_average,1,3,1,5,4,7,7,32,48,31,29,44,59,60,45,64,31,19,32,41,60
rca.function.halstead.difficulty,0,0,1,1,2,4,34,19,12,13,15,9,4,69,58,77,51,44,48,70,88
rca.function.loc.sloc_max,0,0,1,1,1,1,27,28,52,29,38,42,56,58,43,65,35,24,42,19,49
rca.function.loc.sloc_min,1,1,0,1,2,3,5,11,9,29,40,52,59,62,54,67,49,39,41,43,39
rca.function.halstead.level,7,9,13,32,18,35,42,30,26,45,46,31,25,24,27,26,59,74,58,45,98
rca.function.mi.mi_original,7,36,32,24,18,17,18,28,22,46,31,31,32,27,29,26,59,75,69,93,98
rca.function.nargs.closures_max,4,6,9,7,15,12,9,22,19,26,13,8,13,13,23,76,62,61,69,71,93
rca.function.nom.closures_max,5,8,4,9,24,37,41,26,15,20,31,19,8,19,21,19,59,71,54,83,95
rca.function.cognitive.min,0,0,0,0,0,1,1,2,1,6,2,6,5,12,53,71,50,39,47,49,22
rca.function.loc.blank_min,0,0,0,0,1,0,0,1,0,2,2,3,8,9,8,8,54,63,46,70,57
rca.function.nargs.average,5,6,7,9,11,7,9,11,15,20,18,17,9,13,20,22,62,74,68,91,86
rca.function.cyclomatic.max,0,0,0,0,1,2,6,11,2,1,12,4,2,3,8,12,49,57,35,65,62
rca.function.loc.lloc,0,0,0,0,1,2,1,3,1,0,3,5,2,8,17,14,57,74,69,34,56
rca.function.nom.functions_max,1,2,4,6,8,5,4,23,14,31,20,22,16,22,29,16,32,44,50,69,95
rca.function.loc.lloc_min,1,1,2,3,2,7,10,19,15,8,10,11,12,13,23,18,28,36,48,53,89
rca.function.nargs.functions_max,0,4,4,3,8,8,6,5,2,14,13,9,20,15,23,12,6,21,51,65,83
rca.function.cognitive.sum,1,0,1,1,2,2,2,2,2,5,8,7,5,7,12,12,16,11,12,50,60
rca.function.loc.cloc_max,1,4,1,4,12,6,5,5,7,6,4,4,5,7,15,15,30,41,36,63,30
rca.function.loc.sloc_average,0,1,0,1,2,3,2,2,1,1,2,1,5,2,11,8,5,6,7,50,55
rca.function.nargs.average_closures,5,4,4,4,11,8,12,12,6,18,25,21,10,14,25,8,17,20,39,62,57
rca.function.nexits.max,1,2,6,2,1,10,8,6,6,23,14,25,18,19,17,14,30,38,52,36,81
rca.function.nom.average,2,4,4,4,4,9,11,22,19,34,19,21,20,16,22,14,28,38,29,71,89
rca.function.halstead.bugs,0,0,0,0,1,1,1,1,2,4,4,5,3,8,11,14,42,59,47,26,35
rca.function.halstead.length,0,0,0,0,0,1,1,2,0,0,0,1,1,1,41,62,32,21,33,23,7
rca.function.loc.blank_max,0,0,0,0,0,0,1,2,1,0,1,4,1,5,6,6,6,12,31,5,56
rca.function.loc.lloc_average,1,5,4,2,4,4,2,2,11,19,25,26,15,8,14,8,11,15,24,38,60
rca.function.loc.lloc_max,1,1,2,8,3,4,4,7,12,8,21,16,12,8,28,15,26,41,35,38,18
rca.function.loc.ploc_average,0,0,0,1,0,3,3,10,3,2,11,20,16,8,11,5,7,10,7,24,74
rca.function.loc.ploc_max,1,1,2,7,4,4,6,4,2,6,6,4,5,5,8,9,4,15,16,42,90
rca.function.loc.ploc_min,1,0,1,2,1,1,1,1,2,1,3,4,2,4,3,9,27,36,23,34,61
rca.function.nargs.closures_min,1,4,5,10,21,35,45,25,21,9,19,5,15,11,23,12,9,16,37,35,25
rca.function.nargs.total_functions,0,0,0,0,0,1,1,1,1,0,8,3,3,5,15,5,13,8,25,8,69
rca.function.nexits.average,2,2,5,4,22,33,35,21,14,8,16,8,5,8,14,7,7,11,11,35,51
rca.function.nexits.sum,0,0,3,3,1,0,1,1,2,6,8,8,5,8,13,9,21,26,38,46,72
rca.function.nom.closures,1,1,1,1,1,1,3,2,5,8,22,16,18,15,22,4,15,8,12,22,54
rca.function.halstead.N2,0,0,0,0,0,0,1,0,1,1,2,4,2,9,10,7,5,25,31,47,11
rca.function.halstead.effort,0,0,0,0,0,0,0,0,0,1,0,2,1,3,4,1,2,6,5,10,66
rca.function.halstead.n2,0,0,1,1,1,2,5,19,11,31,17,12,9,8,11,4,3,6,8,10,59
rca.function.halstead.time,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,59,19
rca.function.halstead.vocabulary,0,0,0,3,6,1,2,4,7,5,2,3,4,4,14,9,11,10,15,26,74
rca.function.cognitive.average,0,0,1,1,2,3,2,4,10,10,9,10,5,8,20,9,10,14,20,16,44
rca.function.cognitive.max,0,2,3,4,2,2,4,4,3,3,3,3,5,5,10,5,7,11,32,30,24
rca.function.cyclomatic.average,0,0,0,0,0,1,1,2,2,1,1,2,2,4,7,9,11,9,9,17,18
rca.function.cyclomatic.min,0,0,0,0,0,1,2,1,4,9,7,14,13,5,9,5,3,6,21,34,22
rca.function.cyclomatic.sum,0,0,0,0,1,0,0,0,1,1,3,4,5,5,8,4,12,13,34,27,42
rca.function.loc.blank,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,8,33,35,20,17,6
rca.function.loc.blank_average,0,0,0,2,0,1,2,2,6,5,2,5,2,6,12,5,6,7,4,15,21
rca.function.loc.cloc,0,0,1,1,0,1,3,8,11,12,8,8,14,9,6,6,7,9,9,24,37
rca.function.loc.ploc,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,1,5,8,3,47
rca.function.loc.sloc,0,0,1,2,1,1,1,2,11,26,15,13,10,12,21,11,31,41,31,37,19
rca.function.nargs.total,0,0,0,0,0,0,1,1,0,1,1,1,2,5,5,6,5,11,22,46,49
rca.function.nargs.total_closures,1,1,1,1,1,3,3,3,3,9,10,9,8,8,14,8,8,13,18,34,48
rca.function.nom.functions,0,0,0,0,0,1,1,1,2,2,4,3,4,5,8,7,3,11,6,7,30
rca.function.nom.total,0,0,0,0,13,3,5,9,5,7,20,10,4,3,9,12,15,12,19,16,36
rca.function.halstead.N1,0,0,0,0,0,0,1,1,2,5,3,2,2,2,4,10,7,11,20,6,16
rca.function.halstead.estimated_program_length,0,0,0,0,0,0,0,1,0,1,4,2,7,4,2,2,5,15,27,15,38
