n_metrics    min    avg   max
2    0.32371723651885986    0.5485740070896489    0.6413930654525757
3    0.24442119896411896    0.46696352187011925    0.5605905055999756
4    0.21695959568023682    0.41192935556173327    0.5020333528518677
5    0.19403137266635895    0.37058200303997313    0.4590299427509308
6    0.1872621476650238    0.33414075214947975    0.41916677355766296
7    0.1625417321920395    0.3010043294302055    0.38202592730522156
8    0.1377968192100525    0.28027304692992144    0.353305459022522
9    0.12419524043798447    0.25843660812824965    0.3396684229373932
10    0.12259173393249512    0.2369220935872623    0.31474342942237854
11    0.1187795028090477    0.2189359478386385    0.29165971279144287
12    0.1045154258608818    0.20421069442693676    0.27009084820747375
13    0.10041291266679764    0.18521565989192043    0.2565491497516632
14    0.09165796637535095    0.16765841977404697    0.23978739976882935
15    0.07608909904956818    0.15713709411876542    0.22797274589538574
17    0.05861924961209297    0.14407676965264338    0.19820702075958252
19    0.05308089405298233    0.11810270116797515    0.17071695625782013
21    0.037245575338602066    0.10444049425423145    0.15067137777805328
23    0.03611980378627777    0.09121718756588441    0.12813563644886017
25    0.024571068584918976    0.07854583989828826    0.10951152443885803
30    0.021199645474553108    0.05225649723517043    0.0781286358833313
40    0.00637164618819952    0.019289531992814902    0.033576834946870804
