n_metrics    max    min   avg
2    0.22989529371261597    0.0008650519303046167    0.16530368431820533
3    0.1939621865749359    0.0008650519303046167    0.14538730613305234
4    0.17951789498329163    0.00043252596515230834    0.12974722554988694
5    0.1626918762922287    0.0    0.11840328418835998
7    0.14476926624774933    0.0    0.10206487356871366
10    0.12153846025466919    0.0    0.08058761456981302
12    0.11397859454154968    0.0    0.07200795516744256
15    0.09784305095672607    0.0    0.059817960526794195
17    0.0821818858385086    0.0    0.05418444769084454
20    0.0729166641831398    0.0    0.045925425354391335
22    0.06235961988568306    0.0    0.040278777156025174
24    0.0590277798473835    0.0    0.03681337650306523
26    0.05411249026656151    0.0    0.03301158888451755
28    0.053644996136426926    0.0    0.030037051536142827
30    0.04859982803463936    0.0    0.026884455734863876
35    0.0384514220058918    0.0    0.020223161230795084
40    0.027587326243519783    0.0    0.013247902568429708
