n_metrics    max    min   avg
2    0.22989529371261597    0.0008650519303046167    0.16301916287257337
3    0.19532766938209534    0.00043252596515230834    0.14304953464574646
4    0.18052628636360168    0.0008650519303046167    0.12987883392139338
5    0.16722126305103302    0.00043252596515230834    0.12015769065252971
7    0.1483335793018341    0.00043252596515230834    0.10491662135801744
10    0.13118013739585876    0.0    0.08922358690574765
12    0.11420118063688278    0.0    0.08042282980307937
15    0.10030616074800491    0.0    0.0701884462274611
17    0.10207044333219528    0.0    0.06352349128574133
20    0.08652470260858536    0.0    0.054350857585668565
22    0.07549585402011871    0.0    0.050092557068914176
24    0.07252008467912674    0.0    0.045202292624861
26    0.06556610763072968    0.0    0.04166930237784982
28    0.06172117218375206    0.0    0.03765309901162982
30    0.050639860332012177    0.0    0.034072178073227405
35    0.042951058596372604    0.0    0.026357651421800257
40    0.03147883340716362    0.0    0.018442058350890876
