,rca.impl.cyclomatic.average,rca.impl.cyclomatic.min,rca.impl.halstead.level,rca.impl.halstead.purity_ratio,rca.impl.loc.cloc_average,rca.impl.loc.cloc_min,rca.impl.halstead.effort,rca.impl.loc.blank_min,rca.impl.cyclomatic.max,rca.impl.halstead.time
rca.impl.cyclomatic.average,1.0,-0.011537923157986811,-0.149113334131109,-0.16397204629252418,0.12323537170918579,0.21087337335481648,0.0913388617641954,0.30790056681505157,0.9141791893984641,0.09133886176419533
rca.impl.cyclomatic.min,-0.011537923157986811,1.0,0.9379366502072001,0.058285687939304685,-0.3612743538452492,-0.07067477272049918,-0.16791616897396763,-0.13675045286756052,-0.20713788278594927,-0.1679161689739677
rca.impl.halstead.level,-0.149113334131109,0.9379366502072001,1.0,0.08847162871614177,-0.40769506092494445,-0.14844211302828111,-0.18612839740525874,-0.24095374316018475,-0.33641635980771073,-0.18612839740525877
rca.impl.halstead.purity_ratio,-0.16397204629252418,0.058285687939304685,0.08847162871614177,1.0,-0.33598884543400825,-0.09018822503482853,-0.5021053060498626,-0.18594810125345435,-0.37839493746510106,-0.5021053060498626
rca.impl.loc.cloc_average,0.12323537170918579,-0.3612743538452492,-0.40769506092494445,-0.33598884543400825,1.0,0.5894548775352858,0.10009775511544941,0.3666232091264228,0.2570446056934623,0.10009775511544942
rca.impl.loc.cloc_min,0.21087337335481648,-0.07067477272049918,-0.14844211302828111,-0.09018822503482853,0.5894548775352858,1.0,-0.1865930833771512,0.7485922094204875,0.21026671092012494,-0.18659308337715108
rca.impl.halstead.effort,0.0913388617641954,-0.16791616897396763,-0.18612839740525874,-0.5021053060498626,0.10009775511544941,-0.1865930833771512,1.0,-0.06503736090766798,0.4081692347876365,1.0000000000000002
rca.impl.loc.blank_min,0.30790056681505157,-0.13675045286756052,-0.24095374316018475,-0.18594810125345435,0.3666232091264228,0.7485922094204875,-0.06503736090766798,1.0,0.3545631666140838,-0.06503736090766792
rca.impl.cyclomatic.max,0.9141791893984641,-0.20713788278594927,-0.33641635980771073,-0.37839493746510106,0.2570446056934623,0.21026671092012494,0.4081692347876365,0.3545631666140838,1.0,0.40816923478763667
rca.impl.halstead.time,0.09133886176419533,-0.1679161689739677,-0.18612839740525877,-0.5021053060498626,0.10009775511544942,-0.18659308337715108,1.0000000000000002,-0.06503736090766792,0.40816923478763667,1.0
