n_metrics    min    avg   max
2    0.0008650519303046167    0.1673742922812772    0.22989529371261597
3    0.0008650519303046167    0.14700119336117776    0.19439290463924408
4    0.00043252596515230834    0.13128146484807635    0.17951789498329163
5    0.0    0.12016697318042413    0.1642971634864807
6    0.0    0.11038765334954055    0.15866738557815552
7    0.0    0.10282443951618356    0.14476926624774933
8    0.0    0.09370830274079568    0.1355423778295517
9    0.0    0.08700202335137874    0.12603643536567688
10    0.0    0.08093218425915648    0.12290108948945999
12    0.0    0.07293891723751306    0.11397859454154968
15    0.0    0.05992080684303521    0.09784305095672607
17    0.0    0.0545466566277453    0.0821818858385086
20    0.0    0.04615984329622454    0.0729166641831398
22    0.0    0.04057727306875257    0.06235961988568306
24    0.0    0.03707984841213777    0.0590277798473835
26    0.0    0.033152859267519    0.05411249026656151
28    0.0    0.030403923235493353    0.053644996136426926
30    0.0    0.02702154247032013    0.04859982803463936
35    0.0    0.02044737963377534    0.0384514220058918
40    0.0    0.013478810846796618    0.027587326243519783
