n_metrics    min    avg   max
2    0.20745085179805756    0.4974351416826248    0.6384595632553101
3    0.16261443495750427    0.4075890918970108    0.5396186709403992
4    0.13173651695251465    0.3441744450926781    0.4745781421661377
5    0.0900079682469368    0.3025367926061153    0.4209301173686981
6    0.0960678905248642    0.26492259952425956    0.3628768026828766
7    0.07034087926149368    0.23165191885828973    0.339243084192276
8    0.051124051213264465    0.20940459141135215    0.3149474263191223
9    0.04040427878499031    0.18682847836613656    0.274850070476532
10    0.042181193828582764    0.17063370075821876    0.25371572375297546
11    0.04723710939288139    0.15281712117791177    0.23811323940753937
12    0.03312349319458008    0.13953251299262046    0.23257306218147278
13    0.027701862156391144    0.12803472469747065    0.2139004021883011
14    0.024332301691174507    0.11759860884398222    0.19092398881912231
15    0.022293170914053917    0.10658849544078111    0.183011993765831
17    0.016421666368842125    0.08955125479400158    0.14860385656356812
20    0.01567624881863594    0.06805514684319496    0.12173529714345932
22    0.011751901358366013    0.05685746113583445    0.10039223730564117
24    0.00893221516162157    0.047451897326856854    0.09357506781816483
26    0.00796812679618597    0.03942545283958316    0.07333327829837799
28    0.0025335396640002728    0.03204179448634386    0.06428196281194687
30    0.0009187183459289372    0.025598954077111557    0.056021105498075485
35    0.0014185275649651885    0.014234970654826611    0.03343364596366882
40    0.0006532135303132236    0.007266428398434072    0.018653137609362602
