n_metrics    min    avg   max
2    0.0008650519303046167    0.16301916287257337    0.22989529371261597
3    0.00043252596515230834    0.14304953464574646    0.19532766938209534
4    0.0008650519303046167    0.12987883392139338    0.18052628636360168
5    0.00043252596515230834    0.12015769065252971    0.16722126305103302
7    0.00043252596515230834    0.10491662135801744    0.1483335793018341
10    0.0    0.08922358690574765    0.13118013739585876
12    0.0    0.08042282980307937    0.11420118063688278
15    0.0    0.0701884462274611    0.10030616074800491
17    0.0    0.06352349128574133    0.10207044333219528
20    0.0    0.054350857585668565    0.08652470260858536
22    0.0    0.050092557068914176    0.07549585402011871
24    0.0    0.045202292624861    0.07252008467912674
26    0.0    0.04166930237784982    0.06556610763072968
28    0.0    0.03765309901162982    0.06172117218375206
30    0.0    0.034072178073227405    0.050639860332012177
35    0.0    0.026357651421800257    0.042951058596372604
40    0.0    0.018442058350890876    0.03147883340716362
