Metric,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,20,22,24,26,28,30,35,40
,0.17,0.14,0.13,0.12,0.11,0.11,0.10,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02
rca.impl.mi.mi_visual_studio,12,18,27,30,30,35,32,38,39,40,41,40,41,45,43,49,56,58,66,67,74,79,88
rca.impl.mi.mi_original,6,16,18,25,29,36,35,35,34,37,41,41,44,42,51,52,57,58,65,69,74,82,85
rca.impl.nargs.functions_max,12,23,31,35,38,38,34,30,30,30,30,25,32,37,40,46,62,64,65,62,66,68,88
rca.impl.cyclomatic.min,5,9,13,19,29,35,38,45,46,50,57,63,62,63,70,80,83,87,89,92,93,95,98
rca.impl.nargs.average_functions,3,6,16,18,24,28,37,36,39,40,42,51,49,52,58,61,57,65,67,69,72,85,97
rca.impl.loc.lloc_average,0,4,8,17,22,30,31,29,33,32,34,34,38,45,43,51,55,57,56,74,62,77,88
rca.impl.halstead.purity_ratio,1,3,5,11,15,22,28,38,43,49,59,63,68,75,79,91,93,95,95,97,98,99,99
rca.impl.nargs.average,2,6,9,16,20,26,26,33,35,41,42,44,46,50,52,61,64,67,71,79,86,92,96
rca.impl.nom.closures_max,8,18,19,21,28,25,26,28,29,36,33,40,41,47,45,44,51,50,57,64,66,72,77
rca.impl.halstead.n1,0,3,6,10,16,23,23,32,39,44,47,53,55,57,70,76,77,84,85,88,90,97,98
rca.impl.mi.mi_sei,1,6,11,13,19,19,29,29,33,30,37,42,38,42,52,56,58,61,70,70,73,85,96
rca.impl.halstead.difficulty,2,3,8,10,14,21,22,25,26,30,29,27,30,32,34,40,43,46,44,53,58,69,80
rca.impl.loc.blank_average,1,1,6,6,8,15,18,22,24,27,29,36,31,39,37,52,54,62,64,73,76,88,91
rca.impl.loc.cloc_average,0,1,4,7,11,14,17,20,25,25,28,29,33,32,37,42,53,55,59,61,69,73,76
rca.impl.nom.closures_average,4,15,16,22,17,23,25,23,26,25,26,29,28,26,32,40,38,42,42,50,51,58,70
rca.impl.loc.sloc_average,1,2,5,6,8,13,16,17,17,16,21,26,23,27,35,34,38,42,42,47,49,60,66
rca.impl.halstead.vocabulary,3,2,5,6,8,12,16,16,18,19,21,23,23,29,23,35,41,40,43,46,48,58,67
rca.impl.loc.lloc_min,1,5,8,11,13,17,18,19,17,28,26,28,27,25,31,33,46,42,50,52,57,70,79
rca.impl.nom.average,1,4,5,8,19,18,24,23,24,26,26,26,28,31,37,32,37,38,49,49,53,65,74
rca.impl.nom.functions_average,0,2,4,6,10,14,14,21,23,23,28,26,30,31,31,42,48,47,51,48,59,71,81
rca.impl.loc.blank_min,1,3,2,4,6,8,7,9,14,13,18,22,19,22,26,29,33,38,40,45,49,54,67
rca.impl.loc.ploc_min,1,0,3,5,7,7,12,12,13,17,15,13,22,23,22,26,32,38,43,42,50,61,67
rca.impl.nargs.average_closures,1,6,13,18,19,16,18,20,21,23,26,18,22,20,29,33,33,38,40,44,47,49,62
rca.impl.halstead.n2,0,0,2,3,3,6,8,11,13,14,15,17,20,26,23,29,32,37,40,42,44,57,63
rca.impl.loc.ploc_average,1,1,1,6,5,8,9,14,10,17,16,14,22,22,25,27,32,37,44,44,50,58,69
rca.impl.loc.sloc_min,1,2,6,5,9,10,11,16,16,15,18,19,20,18,23,28,26,39,43,39,45,59,62
rca.impl.loc.lloc_max,2,5,10,12,15,8,11,12,17,18,14,16,25,18,21,28,33,41,38,41,47,51,60
rca.impl.nargs.closures_max,3,10,17,16,17,21,21,24,22,22,25,22,25,26,26,30,34,34,37,31,47,52,61
rca.impl.nargs.total,21,18,16,8,10,5,6,10,10,10,10,15,13,18,19,24,27,32,31,34,42,50,58
rca.impl.loc.blank_max,0,2,4,7,8,10,11,13,16,18,17,15,21,21,26,28,30,33,38,38,50,51,59
rca.impl.loc.cloc_min,0,1,2,2,4,4,6,6,10,15,13,17,21,20,22,30,33,34,38,46,44,58,69
rca.impl.loc.ploc_max,1,2,3,5,5,4,6,10,11,12,15,13,17,21,21,30,32,34,32,42,39,56,58
rca.impl.halstead.estimated_program_length,3,6,2,5,3,5,8,7,10,10,10,14,13,14,16,20,25,29,30,41,41,46,58
rca.impl.halstead.level,0,1,1,1,2,3,4,6,5,6,10,14,14,15,21,31,26,35,38,39,39,50,58
rca.impl.loc.cloc_max,0,1,2,3,6,8,8,15,11,13,12,15,16,18,23,27,26,33,35,40,43,55,64
rca.impl.nom.functions,0,1,2,3,5,6,9,8,8,12,12,19,15,16,19,23,31,33,34,39,45,53,55
rca.impl.cyclomatic.average,2,2,4,5,8,8,8,9,14,16,16,14,9,19,24,24,27,34,37,35,38,47,57
rca.impl.cyclomatic.max,0,0,2,3,2,7,6,8,11,9,12,15,18,19,18,23,26,28,36,39,35,47,60
rca.impl.halstead.N1,7,6,7,6,5,3,5,5,9,9,8,12,12,15,21,21,24,30,30,35,39,50,53
rca.impl.halstead.bugs,18,10,8,8,5,6,5,9,9,7,12,12,17,16,16,21,25,34,32,31,38,41,55
rca.impl.loc.blank,1,2,2,5,7,7,10,12,11,11,12,14,15,17,22,30,26,34,30,33,38,45,58
rca.impl.loc.sloc_max,5,5,5,5,5,6,10,9,9,12,16,15,19,17,19,26,28,29,38,41,41,49,60
