n_metrics    min    avg   max
2    0.0008650519303046167    0.1653300103217435    0.22989529371261597
3    0.00043252596515230834    0.14473324329153492    0.1943366825580597
4    0.0008650519303046167    0.1306622020353993    0.1743951290845871
5    0.00043252596515230834    0.12163474787232609    0.16510385274887085
6    0.0    0.11330448517790781    0.15342645347118378
7    0.00043252596515230834    0.10635067089738395    0.1495707929134369
8    0.0    0.10018664996927748    0.1352105736732483
9    0.0    0.09469821600332999    0.1388888955116272
10    0.0    0.0899472361129637    0.13533571362495422
11    0.0    0.08630849531063667    0.12505276501178741
12    0.0    0.08168862134719697    0.12057065963745117
13    0.0    0.07792781411079117    0.12455695867538452
14    0.0    0.07425163070080229    0.11017759889364243
15    0.0    0.0702390965899954    0.10143180936574936
17    0.0    0.06448082828231586    0.09687011688947678
20    0.0    0.05622494924580678    0.09184446185827255
22    0.0    0.050304354721716106    0.07737033814191818
24    0.0    0.04566352078458294    0.07526147365570068
26    0.0    0.04158116916203513    0.0694444477558136
28    0.0    0.03779325088566671    0.0694444477558136
30    0.0    0.03451730028985856    0.052939366549253464
35    0.0    0.026290646839457064    0.044440705329179764
40    0.0    0.018626514248720083    0.035087719559669495
