n_metrics    min    avg   max
2    0.20745085179805756    0.48038627225160596    0.617644190788269
3    0.14067892730236053    0.3876610742807388    0.51812344789505
4    0.10887745767831802    0.3295754667520523    0.47002968192100525
5    0.08258972316980362    0.2878767514526844    0.42329832911491394
6    0.08471688628196716    0.25750309687852857    0.381341814994812
7    0.07240928709506989    0.22898416674137115    0.35179489850997925
8    0.06127963960170746    0.2096318476200104    0.3341057598590851
9    0.06486663222312927    0.19086824998259544    0.3109084963798523
10    0.049513865262269974    0.1761888763308525    0.2716483175754547
11    0.038909051567316055    0.1625501475185156    0.2578094005584717
12    0.03128233179450035    0.14702814035117626    0.24094940721988678
13    0.02686762437224388    0.13840512934327126    0.22794093191623688
14    0.034504324197769165    0.12695720593631268    0.20166149735450745
15    0.03159015625715256    0.11709542402625084    0.19901303946971893
17    0.019583502784371376    0.10015976246446372    0.16331806778907776
20    0.0185114536434412    0.07985327177494764    0.1361922025680542
22    0.013384499587118626    0.06797375438734889    0.12302298843860626
24    0.01603948511183262    0.05703633157908917    0.09886709600687027
26    0.009617353789508343    0.0492000783495605    0.0827668234705925
28    0.0069978549145162106    0.04223638387955725    0.07350204139947891
30    0.00787379965186119    0.034389720320701596    0.06364426016807556
35    0.0026972927153110504    0.02062458361312747    0.038217175751924515
40    0.00033144711051136255    0.011381243218202143    0.021770624443888664
